Donor_ID,PDID,Cell_type,Phenotype
CB001,PD40315cp,HSC,Gran
CB001,PD40315hf,HSC,Mono
CB001,PD40315cq,HSC,NA
CB001,PD40315cr,HSC,EryMy
CB001,PD40315cs,HSC,MyMono
CB001,PD40315ct,HSC,MyMono
CB001,PD40315cu,HSC,NKMy
CB001,PD40315hg,HSC,Mono
CB001,PD40315cv,HSC,MyGran
CB001,PD40315cw,HSC,EryMy
CB001,PD40315cx,HSC,NKMy
CB001,PD40315cy,HSC,EryMy
CB001,PD40315cz,HSC,EryMy
CB001,PD40315da,HSC,MyMono
CB001,PD40315db,HSC,MyMono
CB001,PD40315dc,HSC,MyGran
CB001,PD40315hh,HSC,NKMy
CB001,PD40315dd,HSC,EryMy
CB001,PD40315de,HSC,EryMy
CB001,PD40315df,HSC,MyGran
CB001,PD40315dg,HSC,MyMono
CB001,PD40315dh,HSC,EryMy
CB001,PD40315di,HSC,MyMono
CB001,PD40315dj,HSC,NKMy
CB001,PD40315dk,HSC,MyGran
CB001,PD40315dl,HSC,MyMono
CB001,PD40315dm,HSC,NKMy
CB001,PD40315dn,HSC,Ery
CB001,PD40315do,HSC,MyGran
CB001,PD40315dp,HSC,MyMono
CB001,PD40315dq,HSC,NKMy
CB001,PD40315hi,HSC,NKMy
CB001,PD40315dr,HSC,MyGran
CB001,PD40315ds,HSC,MyMono
CB001,PD40315hj,HSC,Mono
CB001,PD40315dt,HSC,MyGran
CB001,PD40315du,HSC,MyMono
CB001,PD40315dv,HSC,NKMy
CB001,PD40315dw,HSC,EryMy
CB001,PD40315dx,HSC,EryMy
CB001,PD40315dy,HSC,EryMy
CB001,PD40315dz,HSC,MyGran
CB001,PD40315ea,HSC,EryMy
CB001,PD40315eb,HSC,EryMy
CB001,PD40315ec,HSC,NKMy
CB001,PD40315ed,HSC,MyMono
CB001,PD40315ee,HSC,EryMy
CB001,PD40315ef,HSC,MyGran
CB001,PD40315eg,HSC,MyMono
CB001,PD40315hk,HSC,MyMono
CB001,PD40315eh,HSC,MyMono
CB001,PD40315ei,HSC,MyGran
CB001,PD40315hl,HSC,MyMono
CB001,PD40315ej,HSC,Ery
CB001,PD40315ek,HSC,EryMy
CB001,PD40315el,HSC,MyMono
CB001,PD40315hm,HSC,MyMono
CB001,PD40315em,HSC,NKMy
CB001,PD40315en,HSC,EryMy
CB001,PD40315eo,HSC,Gran
CB001,PD40315ep,HSC,Ery
CB001,PD40315eq,HSC,EryMy
CB001,PD40315er,HSC,MyGran
CB001,PD40315es,HSC,MyMono
CB001,PD40315et,HSC,EryMy
CB001,PD40315hn,HSC,MyMono
CB001,PD40315eu,HSC,EryMy
CB001,PD40315ev,HSC,EryMy
CB001,PD40315ew,HSC,EryMy
CB001,PD40315ho,HSC,Mono
CB001,PD40315ey,HSC,MyGran
CB001,PD40315ez,HSC,MyMono
CB001,PD40315fa,HSC,MyMono
CB001,PD40315fb,HSC,MyMono
CB001,PD40315fc,HSC,EryMy
CB001,PD40315fd,HSC,MyMono
CB001,PD40315fe,HSC,NKMy
CB001,PD40315ff,HSC,EryMy
CB001,PD40315fg,HSC,MyGran
CB001,PD40315fh,HSC,MyGran
CB001,PD40315fi,HSC,EryMy
CB001,PD40315hp,HSC,MyMono
CB001,PD40315fj,HSC,EryMy
CB001,PD40315fk,HSC,EryMy
CB001,PD40315hq,HSC,EryMy
CB001,PD40315hr,HSC,NKMy
CB001,PD40315fl,HSC,MyGran
CB001,PD40315fm,HSC,EryMy
CB001,PD40315fn,HSC,EryMy
CB001,PD40315fo,HSC,EryMy
CB001,PD40315fp,HSC,MyMono
CB001,PD40315fq,HSC,MyMono
CB001,PD40315fr,HSC,EryMy
CB001,PD40315fs,HSC,MyGran
CB001,PD40315hs,HSC,MyMono
CB001,PD40315ft,HSC,Gran
CB001,PD40315fu,HSC,EryMy
CB001,PD40315fv,HSC,MyMono
CB001,PD40315fw,HSC,MyMono
CB001,PD40315fx,HSC,MyGran
CB001,PD40315fy,HSC,MyGran
CB001,PD40315fz,HSC,EryMy
CB001,PD40315ga,HSC,EryMy
CB001,PD40315ht,HSC,MyMono
CB001,PD40315gb,HSC,EryMy
CB001,PD40315gc,HSC,MyMono
CB001,PD40315hu,HSC,Mono
CB001,PD40315gd,HSC,EryMy
CB001,PD40315hv,HSC,NA
CB001,PD40315hw,HSC,NA
CB001,PD40315ge,HSC,MyGran
CB001,PD40315hx,HSC,Mono
CB001,PD40315gf,HSC,MyMono
CB001,PD40315gg,HSC,MyMono
CB001,PD40315gh,HSC,EryMy
CB001,PD40315hy,HSC,NA
CB001,PD40315hz,HSC,MyMono
CB001,PD40315gi,HSC,MyMono
CB001,PD40315gj,HSC,NKMy
CB001,PD40315ia,HSC,Mono
CB001,PD40315ib,HSC,Mono
CB001,PD40315gk,HSC,MyGran
CB001,PD40315gl,HSC,NKMy
CB001,PD40315ic,HSC,Mono
CB001,PD40315gm,HSC,MyGran
CB001,PD40315gn,HSC,EryMy
CB001,PD40315go,HSC,EryMy
CB001,PD40315gp,HSC,EryMy
CB001,PD40315gq,HSC,MyGran
CB001,PD40315id,HSC,Mono
CB001,PD40315ie,HSC,Mono
CB001,PD40315gr,HSC,MyMono
CB001,PD40315if,HSC,Mono
CB001,PD40315gs,HSC,EryMy
CB001,PD40315gt,HSC,EryMy
CB001,PD40315gu,HSC,MyMono
CB001,PD40315ig,HSC,MyMono
CB001,PD40315gv,HSC,MyMono
CB001,PD40315gw,HSC,EryMy
CB001,PD40315gx,HSC,EryMy
CB001,PD40315ih,HSC,Mono
CB001,PD40315ii,HSC,MyMono
