sample_id	cluster_id
PD47738b_lo0170	00
PD47738b_lo0115	00
PD47738b_lo0276	00
PD47738b_lo0039	00
PD47738b_lo0347	00
PD47738b_lo0122	00
PD47738b_lo0038	00
PD47738b_lo0156	00
PD47738b_lo0114	00
PD47738b_lo0079	00
PD47738b_lo0078	00
PD47738b_lo0228	00
PD47738b_lo0177	01
PD47738b_lo0083	01
PD47738b_lo0003	01
PD47738b_lo0062	01
PD47738b_lo0210	02
PD47738b_lo0131	02
PD47738b_lo0164	02
PD47738b_lo0283	02
PD47738b_lo0201	03
PD47738b_lo0187	03
PD47738b_lo0205	03
PD47738b_lo0020	04
PD47738b_lo0314	04
PD47738b_lo0085	04
PD47738b_lo0001	05
PD47738b_lo0292	05
PD47738b_lo0013	05
PD47738b_lo0010	05
PD47738b_lo0125	05
PD47738b_lo0134	05
PD47738b_lo0200	05
PD47738b_lo0215	05
PD47738b_lo0346	05
PD47738b_lo0269	05
PD47738b_lo0015	05
PD47738b_lo0355	05
PD47738b_lo0045	05
PD47738b_lo0305	05
PD47738b_lo0377	05
PD47738b_lo0369	05
PD47738b_lo0257	05
PD47738b_lo0354	05
PD47738b_lo0057	05
PD47738b_lo0199	05
PD47738b_lo0137	05
PD47738b_lo0105	05
PD47738b_lo0298	05
PD47738b_lo0285	05
PD47738b_lo0044	05
PD47738b_lo0251	05
PD47738b_lo0307	05
PD47738b_lo0018	05
PD47738b_lo0023	05
PD47738b_lo0142	05
PD47738b_lo0243	05
PD47738b_lo0072	05
PD47738b_lo0279	05
PD47738b_lo0124	05
PD47738b_lo0126	05
PD47738b_lo0162	05
PD47738b_lo0052	05
PD47738b_lo0178	05
PD47738b_lo0149	05
PD47738b_lo0150	05
PD47738b_lo0041	05
PD47738b_lo0337	05
PD47738b_lo0008	05
PD47738b_lo0046	05
PD47738b_lo0362	05
PD47738b_lo0065	05
PD47738b_lo0141	05
PD47738b_lo0033	05
PD47738b_lo0036	05
PD47738b_lo0099	05
PD47738b_lo0216	05
PD47738b_lo0363	05
PD47738b_lo0237	05
PD47738b_lo0185	05
PD47738b_lo0330	05
PD47738b_lo0063	05
PD47738b_lo0172	05
PD47738b_lo0030	05
PD47738b_lo0117	05
PD47738b_lo0198	05
PD47738b_lo0139	05
PD47738b_lo0082	05
PD47738b_lo0087	05
PD47738b_lo0019	05
PD47738b_lo0217	05
PD47738b_lo0232	05
PD47738b_lo0245	05
PD47738b_lo0241	05
PD47738b_lo0256	05
PD47738b_lo0140	05
PD47738b_lo0264	05
PD47738b_lo0073	05
PD47738b_lo0317	05
PD47738b_lo0275	05
PD47738b_lo0287	05
PD47738b_lo0189	05
PD47738b_lo0224	05
PD47738b_lo0075	05
PD47738b_lo0272	05
PD47738b_lo0316	05
PD47738b_lo0096	05
PD47738b_lo0025	05
PD47738b_lo0259	05
PD47738b_lo0090	05
PD47738b_lo0271	05
PD47738b_lo0059	05
PD47738b_lo0056	05
PD47738b_lo0255	05
PD47738b_lo0047	05
PD47738b_lo0102	05
PD47738b_lo0002	05
PD47738b_lo0050	05
PD47738b_lo0080	05
PD47738b_lo0286	05
PD47738b_lo0380	05
PD47738b_lo0223	05
PD47738b_lo0098	05
PD47738b_lo0211	05
PD47738b_lo0037	05
PD47738b_lo0006	05
PD47738b_lo0297	05
PD47738b_lo0203	05
PD47738b_lo0207	05
PD47738b_lo0226	05
PD47738b_lo0260	05
PD47738b_lo0262	05
PD47738b_lo0313	05
PD47738b_lo0060	05
PD47738b_lo0064	05
PD47738b_lo0293	05
PD47738b_lo0218	05
PD47738b_lo0281	05
PD47738b_lo0291	05
PD47738b_lo0204	05
PD47738b_lo0084	05
PD47738b_lo0022	05
PD47738b_lo0011	05
PD47738b_lo0035	05
PD47738b_lo0193	05
PD47738b_lo0042	05
PD47738b_lo0055	05
PD47738b_lo0274	05
PD47738b_lo0095	05
PD47738b_lo0299	05
PD47738b_lo0357	05
PD47738b_lo0235	05
PD47738b_lo0058	05
PD47738b_lo0009	05
PD47738b_lo0147	05
PD47738b_lo0266	05
PD47738b_lo0248	05
PD47738b_lo0086	05
PD47738b_lo0169	05
PD47738b_lo0017	05
PD47738b_lo0238	05
PD47738b_lo0268	05
PD47738b_lo0081	05
PD47738b_lo0157	05
PD47738b_lo0101	05
PD47738b_lo0091	05
PD47738b_lo0246	05
PD47738b_lo0244	05
PD47738b_lo0379	05
PD47738b_lo0234	05
PD47738b_lo0315	05
PD47738b_lo0024	05
PD47738b_lo0289	05
PD47738b_lo0066	05
PD47738b_lo0236	05
PD47738b_lo0138	05
PD47738b_lo0107	05
PD47738b_lo0208	05
PD47738b_lo0089	05
PD47738b_lo0016	05
PD47738b_lo0181	05
PD47738b_lo0113	05
PD47738b_lo0222	05
PD47738b_lo0322	05
PD47738b_lo0195	05
PD47738b_lo0282	05
PD47738b_lo0118	05
PD47738b_lo0048	05
PD47738b_lo0092	05
PD47738b_lo0220	05
PD47738b_lo0340	05
PD47738b_lo0123	05
PD47738b_lo0007	05
PD47738b_lo0161	05
PD47738b_lo0338	05
PD47738b_lo0094	05
PD47738b_lo0301	05
PD47738b_lo0031	05
PD47738b_lo0061	05
PD47738b_lo0153	05
PD47738b_lo0194	05
PD47738b_lo0339	05
PD47738b_lo0110	05
PD47738b_lo0325	05
PD47738b_lo0345	05
PD47738b_lo0231	05
PD47738b_lo0068	05
PD47738b_lo0341	05
PD47738b_lo0270	05
PD47738b_lo0221	05
PD47738b_lo0012	05
PD47738b_lo0213	05
PD47738b_lo0049	05
PD47738b_lo0253	05
PD47738b_lo0250	05
PD47738b_lo0290	05
PD47738b_lo0132	05
PD47738b_lo0254	05
PD47738b_lo0321	05
PD47738b_lo0109	05
PD47738b_lo0261	05
PD47738b_lo0247	05
PD47738b_lo0027	05
PD47738b_lo0273	05
PD47738b_lo0076	05
PD47738b_lo0028	05
PD47738b_lo0333	05
PD47738b_lo0130	05
PD47738b_lo0155	05
PD47738b_lo0165	05
PD47738b_lo0227	05
PD47738b_lo0173	05
PD47738b_lo0370	05
PD47738b_lo0371	05
PD47738b_lo0074	05
PD47738b_lo0277	05
PD47738b_lo0054	05
PD47738b_lo0121	05
PD47738b_lo0108	05
PD47738b_lo0353	05
PD47738b_lo0239	05
PD47738b_lo0219	05
PD47738b_lo0097	05
PD47738b_lo0014	05
PD47738b_lo0233	05
PD47738b_lo0069	05
PD47738b_lo0145	05
PD47738b_lo0258	05
PD47738b_lo0265	05
PD47738b_lo0324	05
PD47738b_lo0229	05
PD47738b_lo0323	05
PD47738b_lo0242	05
PD47738b_lo0077	05
PD47738b_lo0071	05
PD47738b_lo0278	05
PD47738b_lo0032	05
PD47738b_lo0280	05
PD47738b_lo0349	05
PD47738b_lo0329	05
PD47738b_lo0372	05
PD47738b_lo0361	05
PD47738b_lo0179	05
PD47738b_lo0196	05
PD47738b_lo0284	05
PD47738b_lo0263	05
PD47738b_lo0202	05
PD47738b_lo0026	05
PD47738b_lo0300	05
PD47738b_lo0348	05
PD47738b_lo0146	05
PD47738b_lo0158	05
PD47738b_lo0100	05
PD47738b_lo0332	05
PD47738b_lo0171	05
PD47738b_lo0331	05
PD47738b_lo0029	05
PD47738b_lo0186	05
PD47738b_lo0197	05
PD47738b_lo0252	05
PD47738b_lo0070	05
PD47738b_lo0206	05
PD47738b_lo0240	05
PD47738b_lo0214	05
PD47738b_lo0093	05
PD47738b_lo0133	05
PD47738b_lo0249	05
PD47738b_lo0067	05
PD47738b_lo0004	05
PD47738b_lo0005	05
PD47738b_lo0106	05
PD47738b_lo0230	05
PD47738b_lo0267	05
PD47738b_lo0154	05
PD47738b_lo0309	05
PD47738b_lo0129	05
PD47738b_lo0306	05
PD47738b_lo0308	05
PD47738b_lo0212	05
PD47738b_lo0356	05
PD47738b_lo0021	05
PD47738b_lo0148	05
PD47738b_lo0209	05
PD47738b_lo0040	06
PD47738b_lo0053	06
PD47738b_lo0364	07
PD47738b_lo0034	07
PD47738b_lo0188	08
PD47738b_lo0180	08
PD47738b_lo0116	08
PD47738b_lo0225	08
PD47738b_lo0088	09
PD47738b_lo0378	09
PD47738b_lo0043	10
PD47738b_lo0051	10
