exp_ID,Donor_ID,Tissue,Cell_type,Percentage,coverage
18pcw,PD41768c,F1,M,40.2,6.54
18pcw,PD41768d,F1,M,92.9,19.94
18pcw,PD41768f,F2,M,22.8,4.11
18pcw,PD41768g,F2,M,85.3,16.7
18pcw,PD41768h,L,M,54.6,9.44
18pcw,PD41768k,F1,M,85.1,15.97
18pcw,PD41768l,F1,M,39.2,6.62
18pcw,PD41768n,F2,M,67.1,13.89
18pcw,PD41768o,F2,M,96.1,19.3
18pcw,PD41768p,L,M,48.3,9.99
18pcw,PD41768q,L,M,60.5,12.19
18pcw,PD41768r,F1,M,94.7,18.59
18pcw,PD41768s,F1,M,13,1.77
18pcw,PD41768t,F1,M,64.4,13.81
18pcw,PD41768u,F2,M,96.4,18.8
18pcw,PD41768v,F2,M,43.8,6.85
18pcw,PD41768x,L,M,79.9,15.29
18pcw,PD41768y,L,M,83.8,17.01
18pcw,PD41768z,F1,M,86.3,15.15
18pcw,PD41768ab,F1,M,44,7.18
18pcw,PD41768ac,F1,M,42.6,6.75
18pcw,PD41768ad,F2,M,89.7,15.59
18pcw,PD41768ae,F2,M,89.7,17.28
18pcw,PD41768ag,L,M,62.5,11.28
18pcw,PD41768ah,L,M,60.7,10.59
18pcw,PD41768ai,F1,M,88.3,14.47
18pcw,PD41768aj,F1,M,93.6,16.06
18pcw,PD41768ak,F1,M,84.2,15.08
18pcw,PD41768al,F2,M,82.1,14.51
18pcw,PD41768am,F2,M,25.1,2.91
18pcw,PD41768an,L,M,88.6,16.63
18pcw,PD41768ao,L,M,90.2,15.04
18pcw,PD41768ap,L,M,61.7,10.57
18pcw,PD41768aq,F1,M,96.4,18.67
18pcw,PD41768ar,F1,M,95.2,15.82
18pcw,PD41768as,F1,M,63.3,9.95
18pcw,PD41768at,F2,M,92.4,15.68
18pcw,PD41768au,F2,M,17.9,12.96
18pcw,PD41768av,L,M,93.7,16.31
18pcw,PD41768aw,L,M,66.5,11.98
18pcw,PD41768ax,L,M,87.7,17.7
18pcw,PD41768ay,F1,M,85.7,12.93
18pcw,PD41768az,F1,M,40.5,6.89
18pcw,PD41768bb,F1,M,4.5,0.17
18pcw,PD41768bc,F2,M,89.1,17.47
18pcw,PD41768bd,F2,M,64.2,11.35
18pcw,PD41768be,L,M,93.3,14.96
18pcw,PD41768bf,L,M,82.3,14.49
18pcw,PD41768bg,L,M,64.4,9.87
18pcw,PD41768bh,F1,M,86.9,13.1
18pcw,PD41768bi,F1,M,91.6,16.27
18pcw,PD41768bj,F1,M,65.7,13.42
18pcw,PD41768bk,F2,M,81.8,15.79
18pcw,PD41768bl,F2,M,60.4,9.42
18pcw,PD41768bm,L,M,79.8,12.56
18pcw,PD41768bn,L,M,65.4,11.16
18pcw,PD41768bo,L,M,92.6,16.34
18pcw,PD41768bp,F1,M,11.5,1.05
18pcw,PD41768bq,F1,M,43.1,7.1
18pcw,PD41768br,F1,M,95,16.19
18pcw,PD41768bs,F2,M,79.1,14.67
18pcw,PD41768bt,F2,M,83.9,14.78
18pcw,PD41768bu,L,M,59.6,10.3
18pcw,PD41768bv,L,M,58.9,11.09
18pcw,PD41768bw,L,M,92.8,18.24
18pcw,PD41768bx,F1,M,61.8,8.86
18pcw,PD41768by,F1,M,7.6,0.79
18pcw,PD41768bz,F1,M,4,0.29
18pcw,PD41768cb,F2,M,27.4,3.84
18pcw,PD41768cc,F2,M,2.9,0.05
18pcw,PD41768cd,L,M,71.4,12.18
18pcw,PD41768ce,L,M,2.9,0.02
18pcw,PD41768cf,L,M,85,17.17
18pcw,PD41768cg,F1,M,22.1,1.7
18pcw,PD41768ch,F1,M,29.7,5.07
18pcw,PD41768ci,F1,M,94.7,16.46
18pcw,PD41768cj,F2,M,59.5,9.18
18pcw,PD41768ck,F2,M,90.2,15.09
18pcw,PD41768cl,L,M,35.2,6.25
18pcw,PD41768cm,L,M,86.7,13.45
18pcw,PD41768cn,L,M,94.8,16.91
18pcw,PD41768co,F1,M,11.9,0.94
18pcw,PD41768cp,F1,M,20.6,2.78
18pcw,PD41768cq,F1,M,11.6,0.29
18pcw,PD41768cr,F2,M,62.6,11.19
18pcw,PD41768cs,F2,M,90.4,18.67
18pcw,PD41768ct,L,M,59.4,10.72
18pcw,PD41768cu,L,M,96.2,17
18pcw,PD41768cx,L,M,96.6,17.75
18pcw,PD41768cy,F1,M,72.4,15.99
18pcw,PD41768cz,F1,M,90.7,14.05
18pcw,PD41768db,F2,M,11.3,1.22
18pcw,PD41768dc,F1,C,89.8,20.76
18pcw,PD41768dd,F1,C,23.3,4.3
18pcw,PD41768de,F2,C,71,11.87
18pcw,PD41768dh,F1,M,31.5,4.6
18pcw,PD41768di,F1,M,21.2,3.24
18pcw,PD41768dj,F2,M,28,5.75
18pcw,PD41768dk,F1,C,88.4,19.67
18pcw,PD41768dl,F1,C,43.9,14.97
18pcw,PD41768dm,F1,C,22,3.37
18pcw,PD41768dn,L,M,63.3,13.68
18pcw,PD41768dp,F1,M,69.5,11.47
18pcw,PD41768dq,F1,M,79.7,15.89
18pcw,PD41768dr,F2,M,65.9,12.52
18pcw,PD41768ds,F1,C,94.3,18.03
18pcw,PD41768dt,F1,C,88.9,13.8
18pcw,PD41768du,F2,C,68.3,14.88
18pcw,PD41768dv,L,M,81.2,14.02
18pcw,PD41768dw,F1,M,79.9,15
18pcw,PD41768dx,F1,M,74.6,14.08
18pcw,PD41768dy,F1,M,93.5,18.21
18pcw,PD41768dz,F2,M,76.9,17.25
18pcw,PD41768eb,F1,C,86.7,11.15
18pcw,PD41768ec,F1,C,59.6,10.72
18pcw,PD41768ed,F2,C,65.5,14.74
18pcw,PD41768ee,L,M,21.9,2.7
18pcw,PD41768ef,F1,M,93.8,22.38
18pcw,PD41768eg,F1,M,81.5,13.79
18pcw,PD41768eh,F1,M,12.7,0.86
18pcw,PD41768ei,F2,M,72.4,13.42
18pcw,PD41768ej,F1,C,72.7,10.53
18pcw,PD41768ek,F1,C,45.7,7.97
18pcw,PD41768el,F2,C,89.5,13.95
18pcw,PD41768em,L,M,89.3,11.85
18pcw,PD41768en,F1,M,11,1.48
18pcw,PD41768eo,F1,M,18.8,2.82
18pcw,PD41768eq,F2,M,83.9,15.24
18pcw,PD41768er,F1,C,71.8,11.18
18pcw,PD41768es,F1,C,83.7,13.82
18pcw,PD41768et,F2,C,61.7,16.53
18pcw,PD41768eu,L,M,89,15.82
18pcw,PD41768ev,F1,M,91.3,18.53
18pcw,PD41768ew,F1,M,79.6,13.33
18pcw,PD41768ey,F2,M,79.6,16.45
18pcw,PD41768ez,F1,C,69.5,10.14
18pcw,PD41768fb,F1,C,94.6,15.87
18pcw,PD41768fc,F2,C,64,12.72
18pcw,PD41768fd,L,M,85.6,14.83
18pcw,PD41768fe,F1,M,9.4,1.2
18pcw,PD41768ff,F1,M,64.2,12.49
18pcw,PD41768fg,F2,M,44.6,7.2
18pcw,PD41768fh,F2,M,79.5,13.13
18pcw,PD41768fi,F1,C,73.8,13.58
