sample_id	cluster_id
PD47738b_lo0001	00
PD47738b_lo0292	00
PD47738b_lo0013	00
PD47738b_lo0010	00
PD47738b_lo0125	00
PD47738b_lo0134	00
PD47738b_lo0200	00
PD47738b_lo0215	00
PD47738b_lo0346	00
PD47738b_lo0269	00
PD47738b_lo0015	00
PD47738b_lo0355	00
PD47738b_lo0170	00
PD47738b_lo0305	00
PD47738b_lo0377	00
PD47738b_lo0369	00
PD47738b_lo0257	00
PD47738b_lo0354	00
PD47738b_lo0057	00
PD47738b_lo0199	00
PD47738b_lo0137	00
PD47738b_lo0105	00
PD47738b_lo0298	00
PD47738b_lo0285	00
PD47738b_lo0044	00
PD47738b_lo0115	00
PD47738b_lo0251	00
PD47738b_lo0307	00
PD47738b_lo0018	00
PD47738b_lo0023	00
PD47738b_lo0142	00
PD47738b_lo0243	00
PD47738b_lo0072	00
PD47738b_lo0279	00
PD47738b_lo0124	00
PD47738b_lo0126	00
PD47738b_lo0162	00
PD47738b_lo0052	00
PD47738b_lo0178	00
PD47738b_lo0149	00
PD47738b_lo0150	00
PD47738b_lo0041	00
PD47738b_lo0337	00
PD47738b_lo0008	00
PD47738b_lo0046	00
PD47738b_lo0362	00
PD47738b_lo0065	00
PD47738b_lo0141	00
PD47738b_lo0033	00
PD47738b_lo0036	00
PD47738b_lo0099	00
PD47738b_lo0216	00
PD47738b_lo0363	00
PD47738b_lo0237	00
PD47738b_lo0185	00
PD47738b_lo0330	00
PD47738b_lo0063	00
PD47738b_lo0172	00
PD47738b_lo0030	00
PD47738b_lo0117	00
PD47738b_lo0198	00
PD47738b_lo0139	00
PD47738b_lo0082	00
PD47738b_lo0087	00
PD47738b_lo0019	00
PD47738b_lo0217	00
PD47738b_lo0232	00
PD47738b_lo0245	00
PD47738b_lo0241	00
PD47738b_lo0256	00
PD47738b_lo0140	00
PD47738b_lo0264	00
PD47738b_lo0073	00
PD47738b_lo0317	00
PD47738b_lo0275	00
PD47738b_lo0287	00
PD47738b_lo0189	00
PD47738b_lo0224	00
PD47738b_lo0075	00
PD47738b_lo0272	00
PD47738b_lo0316	00
PD47738b_lo0096	00
PD47738b_lo0201	00
PD47738b_lo0025	00
PD47738b_lo0259	00
PD47738b_lo0090	00
PD47738b_lo0271	00
PD47738b_lo0059	00
PD47738b_lo0056	00
PD47738b_lo0255	00
PD47738b_lo0047	00
PD47738b_lo0102	00
PD47738b_lo0002	00
PD47738b_lo0050	00
PD47738b_lo0080	00
PD47738b_lo0286	00
PD47738b_lo0380	00
PD47738b_lo0223	00
PD47738b_lo0098	00
PD47738b_lo0211	00
PD47738b_lo0037	00
PD47738b_lo0006	00
PD47738b_lo0297	00
PD47738b_lo0203	00
PD47738b_lo0207	00
PD47738b_lo0226	00
PD47738b_lo0039	00
PD47738b_lo0260	00
PD47738b_lo0262	00
PD47738b_lo0313	00
PD47738b_lo0060	00
PD47738b_lo0064	00
PD47738b_lo0187	00
PD47738b_lo0293	00
PD47738b_lo0218	00
PD47738b_lo0281	00
PD47738b_lo0291	00
PD47738b_lo0204	00
PD47738b_lo0084	00
PD47738b_lo0022	00
PD47738b_lo0043	00
PD47738b_lo0011	00
PD47738b_lo0035	00
PD47738b_lo0193	00
PD47738b_lo0042	00
PD47738b_lo0055	00
PD47738b_lo0274	00
PD47738b_lo0095	00
PD47738b_lo0299	00
PD47738b_lo0357	00
PD47738b_lo0235	00
PD47738b_lo0058	00
PD47738b_lo0009	00
PD47738b_lo0147	00
PD47738b_lo0266	00
PD47738b_lo0248	00
PD47738b_lo0086	00
PD47738b_lo0169	00
PD47738b_lo0017	00
PD47738b_lo0238	00
PD47738b_lo0268	00
PD47738b_lo0081	00
PD47738b_lo0157	00
PD47738b_lo0101	00
PD47738b_lo0091	00
PD47738b_lo0246	00
PD47738b_lo0244	00
PD47738b_lo0379	00
PD47738b_lo0234	00
PD47738b_lo0315	00
PD47738b_lo0024	00
PD47738b_lo0289	00
PD47738b_lo0066	00
PD47738b_lo0236	00
PD47738b_lo0138	00
PD47738b_lo0107	00
PD47738b_lo0208	00
PD47738b_lo0089	00
PD47738b_lo0016	00
PD47738b_lo0181	00
PD47738b_lo0114	00
PD47738b_lo0113	00
PD47738b_lo0222	00
PD47738b_lo0322	00
PD47738b_lo0195	00
PD47738b_lo0282	00
PD47738b_lo0118	00
PD47738b_lo0048	00
PD47738b_lo0092	00
PD47738b_lo0220	00
PD47738b_lo0340	00
PD47738b_lo0123	00
PD47738b_lo0007	00
PD47738b_lo0161	00
PD47738b_lo0338	00
PD47738b_lo0094	00
PD47738b_lo0301	00
PD47738b_lo0031	00
PD47738b_lo0061	00
PD47738b_lo0153	00
PD47738b_lo0088	00
PD47738b_lo0194	00
PD47738b_lo0339	00
PD47738b_lo0110	00
PD47738b_lo0325	00
PD47738b_lo0345	00
PD47738b_lo0231	00
PD47738b_lo0068	00
PD47738b_lo0341	00
PD47738b_lo0270	00
PD47738b_lo0221	00
PD47738b_lo0012	00
PD47738b_lo0213	00
PD47738b_lo0049	00
PD47738b_lo0253	00
PD47738b_lo0250	00
PD47738b_lo0290	00
PD47738b_lo0132	00
PD47738b_lo0079	00
PD47738b_lo0254	00
PD47738b_lo0321	00
PD47738b_lo0109	00
PD47738b_lo0261	00
PD47738b_lo0247	00
PD47738b_lo0027	00
PD47738b_lo0273	00
PD47738b_lo0076	00
PD47738b_lo0028	00
PD47738b_lo0333	00
PD47738b_lo0130	00
PD47738b_lo0155	00
PD47738b_lo0165	00
PD47738b_lo0227	00
PD47738b_lo0173	00
PD47738b_lo0370	00
PD47738b_lo0371	00
PD47738b_lo0074	00
PD47738b_lo0277	00
PD47738b_lo0054	00
PD47738b_lo0121	00
PD47738b_lo0108	00
PD47738b_lo0353	00
PD47738b_lo0078	00
PD47738b_lo0239	00
PD47738b_lo0219	00
PD47738b_lo0097	00
PD47738b_lo0014	00
PD47738b_lo0233	00
PD47738b_lo0069	00
PD47738b_lo0145	00
PD47738b_lo0258	00
PD47738b_lo0265	00
PD47738b_lo0324	00
PD47738b_lo0229	00
PD47738b_lo0323	00
PD47738b_lo0242	00
PD47738b_lo0077	00
PD47738b_lo0071	00
PD47738b_lo0278	00
PD47738b_lo0032	00
PD47738b_lo0280	00
PD47738b_lo0349	00
PD47738b_lo0329	00
PD47738b_lo0372	00
PD47738b_lo0361	00
PD47738b_lo0179	00
PD47738b_lo0196	00
PD47738b_lo0284	00
PD47738b_lo0263	00
PD47738b_lo0202	00
PD47738b_lo0026	00
PD47738b_lo0300	00
PD47738b_lo0348	00
PD47738b_lo0146	00
PD47738b_lo0158	00
PD47738b_lo0100	00
PD47738b_lo0332	00
PD47738b_lo0171	00
PD47738b_lo0331	00
PD47738b_lo0029	00
PD47738b_lo0186	00
PD47738b_lo0197	00
PD47738b_lo0252	00
PD47738b_lo0070	00
PD47738b_lo0206	00
PD47738b_lo0240	00
PD47738b_lo0378	00
PD47738b_lo0214	00
PD47738b_lo0093	00
PD47738b_lo0133	00
PD47738b_lo0249	00
PD47738b_lo0067	00
PD47738b_lo0004	00
PD47738b_lo0005	00
PD47738b_lo0106	00
PD47738b_lo0230	00
PD47738b_lo0267	00
PD47738b_lo0154	00
PD47738b_lo0205	00
PD47738b_lo0309	00
PD47738b_lo0129	00
PD47738b_lo0306	00
PD47738b_lo0051	00
PD47738b_lo0308	00
PD47738b_lo0212	00
PD47738b_lo0356	00
PD47738b_lo0021	00
PD47738b_lo0148	00
PD47738b_lo0228	00
PD47738b_lo0209	00
PD47738b_lo0347	01
PD47738b_lo0122	01
PD47738b_lo0038	01
PD47738b_lo0156	01
PD47738b_lo0177	02
PD47738b_lo0083	02
PD47738b_lo0003	02
PD47738b_lo0062	02
PD47738b_lo0210	03
PD47738b_lo0131	03
PD47738b_lo0164	03
PD47738b_lo0283	03
PD47738b_lo0045	04
PD47738b_lo0180	04
PD47738b_lo0116	04
PD47738b_lo0040	05
PD47738b_lo0020	05
PD47738b_lo0314	05
PD47738b_lo0276	05
PD47738b_lo0053	05
PD47738b_lo0085	05
PD47738b_lo0188	06
PD47738b_lo0225	06
PD47738b_lo0364	07
PD47738b_lo0034	07
