sample_id	cluster_id
PD5182db_lo0004	00
PD5182j	00
PD5182k	00
PD5182dl_lo0053	00
PD5182dl_lo0094	00
PD5182dl_lo0065	00
PD5182db_lo0022	00
PD5182dl_lo0069	00
PD5182dl_lo0079	00
PD5182dl_lo0002	00
PD5182dl_lo0078	00
PD5182dl_lo0047	00
PD5182db_lo0006	00
PD5182aj	00
PD5182dl_lo0054	00
PD5182db_lo0014	00
PD5182dl_lo0057	00
PD5182db_lo0019	00
PD5182m	00
PD5182dl_lo0050	00
PD5182db_lo0023	00
PD5182y	00
PD5182dl_lo0037	00
PD5182dl_lo0083	00
PD5182aa	00
PD5182af	01
PD5182dl_lo0072	01
PD5182dl_lo0056	01
PD5182as	01
PD5182al	01
PD5182ak	01
PD5182dl_lo0063	01
PD5182dl_lo0085	01
PD5182db_lo0028	01
PD5182db_lo0017	01
PD5182dl_lo0020	01
PD5182dl_lo0074	01
PD5182dl_lo0032	01
PD5182dl_lo0052	01
PD5182dl_lo0073	01
PD5182dl_lo0095	02
PD5182am	02
PD5182v	02
PD5182an	02
PD5182dl_lo0027	02
PD5182db_lo0024	02
PD5182ad	02
PD5182dl_lo0084	02
PD5182dl_lo0016	02
PD5182db_lo0007	02
PD5182dl_lo0049	02
PD5182dl_lo0060	02
PD5182dl_lo0088	02
PD5182dl_lo0031	02
PD5182dl_lo0071	03
PD5182db_lo0029	03
PD5182ac	03
PD5182dl_lo0082	03
PD5182dl_lo0061	03
PD5182db_lo0002	03
PD5182db_lo0015	03
PD5182o	03
PD5182dl_lo0087	03
PD5182ab	03
PD5182db_lo0008	04
PD5182db_lo0027	04
PD5182dl_lo0041	04
PD5182dl_lo0014	04
PD5182dl_lo0055	04
PD5182dl_lo0051	04
PD5182x	04
PD5182dl_lo0075	04
PD5182dl_lo0006	04
PD5182dl_lo0017	04
PD5182p	05
PD5182w	05
PD5182dl_lo0038	05
PD5182db_lo0030	05
PD5182dl_lo0096	05
PD5182dl_lo0092	05
PD5182dl_lo0039	05
PD5182q	05
PD5182dl_lo0025	05
PD5182dl_lo0040	06
PD5182ao	06
PD5182ai	06
PD5182db_lo0001	06
PD5182dl_lo0021	06
PD5182db_lo0018	06
PD5182ah	06
PD5182dl_lo0059	06
PD5182db_lo0012	07
PD5182db_lo0026	07
PD5182dl_lo0042	07
PD5182dl_lo0008	07
PD5182dl_lo0004	07
PD5182l	07
PD5182dl_lo0005	07
PD5182dl_lo0028	07
PD5182dl_lo0011	08
PD5182dl_lo0081	08
PD5182dl_lo0076	08
PD5182dl_lo0089	08
PD5182dl_lo0009	08
PD5182dl_lo0019	08
PD5182dl_lo0018	08
PD5182db_lo0025	09
PD5182db_lo0016	09
PD5182dl_lo0068	09
PD5182dl_lo0046	09
PD5182dl_lo0045	09
PD5182dl_lo0010	09
PD5182dl_lo0036	09
PD5182dl_lo0023	10
PD5182dl_lo0007	10
PD5182n	10
PD5182s	10
PD5182dl_lo0090	10
PD5182db_lo0005	11
PD5182db_lo0021	11
PD5182dl_lo0086	11
PD5182dl_lo0015	11
PD5182u	12
PD5182dl_lo0034	12
PD5182db_lo0009	12
PD5182dl_lo0070	12
PD5182dl_lo0033	13
PD5182db_lo0032	13
PD5182dl_lo0091	13
PD5182ap	13
PD5182dl_lo0067	14
PD5182db_lo0013	14
PD5182dl_lo0077	14
PD5182z	15
PD5182dl_lo0013	15
PD5182t	15
PD5182db_lo0011	15
PD5182dl_lo0044	15
PD5182dl_lo0029	15
PD5182dl_lo0035	15
PD5182dl_lo0048	16
PD5182dl_lo0001	16
PD5182ar	17
PD5182dl_lo0012	17
PD5182dl_lo0024	17
PD5182ag	17
PD5182dl_lo0062	17
PD5182dl_lo0022	17
PD5182dl_lo0064	17
PD5182aq	17
PD5182db_lo0031	17
PD5182dl_lo0080	17
PD5182db_lo0003	17
PD5182r	17
PD5182db_lo0010	17
PD5182dl_lo0093	17
PD5182dl_lo0030	17
PD5182db_lo0020	18
PD5182dl_lo0058	18
