Samples	CH192A	CH192B	CH192C	CH192D
CB001_0_0.0009765625	0	76	0	0
CB001_0.0009765625_0.001953125	1	178	156	189
CB001_0.001953125_0.00390625	68	35	12	234
CB001_0.00390625_0.0078125	64	0	0	36
CB001_0.0078125_0.015625	57	0	0	0
CB001_0.015625_0.03125	36	0	0	0
CB001_0.03125_0.0625	24	0	0	0
CB001_0.0625_0.125	16	0	0	0
CB001_0.125_0.25	5	0	0	0
CB002_0_0.0009765625	0	85	0	0
CB002_0.0009765625_0.001953125	0	138	385	199
CB002_0.001953125_0.00390625	56	0	157	235
CB002_0.00390625_0.0078125	91	0	24	0
CB002_0.0078125_0.015625	55	0	0	0
CB002_0.015625_0.03125	53	0	0	0
CB002_0.03125_0.0625	41	0	0	0
CB002_0.0625_0.125	18	0	0	0
CB002_0.125_0.25	7	0	0	0
CB002_0.25_0.5	3	0	0	0
KX001_0_0.0009765625	0	185	66	0
KX001_0.0009765625_0.001953125	0	113	1324	0
KX001_0.001953125_0.00390625	183	1	157	148
KX001_0.00390625_0.0078125	158	0	0	0
KX001_0.0078125_0.015625	139	0	0	0
KX001_0.015625_0.03125	123	0	0	0
KX001_0.03125_0.0625	123	0	0	0
KX001_0.0625_0.125	112	0	0	0
KX001_0.125_0.25	91	0	0	0
KX001_0.25_0.5	75	0	0	0
KX001_0.5_1	59	0	0	0
KX002_0_0.0009765625	0	220	50	0
KX002_0.0009765625_0.001953125	57	146	1177	24
KX002_0.001953125_0.00390625	155	0	109	103
KX002_0.00390625_0.0078125	158	0	0	0
KX002_0.0078125_0.015625	137	0	0	0
KX002_0.015625_0.03125	119	0	0	0
KX002_0.03125_0.0625	120	0	0	0
KX002_0.0625_0.125	106	1	4	4
KX002_0.125_0.25	117	0	0	0
KX002_0.25_0.5	84	0	0	0
KX002_0.5_1	86	1	1	1
KX003_0_0.0009765625	0	86	0	18
KX003_0.0009765625_0.001953125	32	231	346	187
KX003_0.001953125_0.00390625	145	43	101	272
