Samples	CH192A	CH192B
CB001_0_0.0009765625	76	0
CB001_0.0009765625_0.001953125	494	30
CB001_0.001953125_0.00390625	235	114
CB001_0.00390625_0.0078125	22	78
CB001_0.0078125_0.015625	0	57
CB001_0.015625_0.03125	0	36
CB001_0.03125_0.0625	1	23
CB001_0.0625_0.125	0	16
CB001_0.125_0.25	0	5
CB002_0_0.0009765625	85	0
CB002_0.0009765625_0.001953125	708	14
CB002_0.001953125_0.00390625	316	132
CB002_0.00390625_0.0078125	9	106
CB002_0.0078125_0.015625	0	55
CB002_0.015625_0.03125	0	53
CB002_0.03125_0.0625	0	41
CB002_0.0625_0.125	0	18
CB002_0.125_0.25	0	7
CB002_0.25_0.5	0	3
KX001_0_0.0009765625	251	0
KX001_0.0009765625_0.001953125	1228	209
KX001_0.001953125_0.00390625	228	261
KX001_0.00390625_0.0078125	7	151
KX001_0.0078125_0.015625	0	139
KX001_0.015625_0.03125	3	120
KX001_0.03125_0.0625	0	123
KX001_0.0625_0.125	0	112
KX001_0.125_0.25	0	91
KX001_0.25_0.5	0	75
KX001_0.5_1	0	59
KX002_0_0.0009765625	270	0
KX002_0.0009765625_0.001953125	1181	223
KX002_0.001953125_0.00390625	142	225
KX002_0.00390625_0.0078125	11	147
KX002_0.0078125_0.015625	4	133
KX002_0.015625_0.03125	0	119
KX002_0.03125_0.0625	0	120
KX002_0.0625_0.125	3	112
KX002_0.125_0.25	0	117
KX002_0.25_0.5	0	84
KX002_0.5_1	0	89
KX003_0_0.0009765625	104	0
KX003_0.0009765625_0.001953125	711	85
KX003_0.001953125_0.00390625	341	220
KX003_0.00390625_0.0078125	22	147
KX003_0.0078125_0.015625	0	161
KX003_0.015625_0.03125	0	113
KX003_0.03125_0.0625	0	108
KX003_0.0625_0.125	4	131
KX003_0.125_0.25	0	110
KX003_0.25_0.5	0	88
KX003_0.5_1	0	142
KX004_0_0.0009765625	378	0
KX004_0.0009765625_0.001953125	935	44
KX004_0.001953125_0.00390625	264	198
KX004_0.00390625_0.0078125	57	189
KX004_0.0078125_0.015625	7	197
KX004_0.015625_0.03125	0	176
KX004_0.03125_0.0625	0	199
KX004_0.0625_0.125	0	175
KX004_0.125_0.25	0	157
KX004_0.25_0.5	0	139
KX004_0.5_1	0	188
KX007_0_0.0009765625	76	0
KX007_0.0009765625_0.001953125	227	65
KX007_0.001953125_0.00390625	86	177
KX007_0.00390625_0.0078125	17	128
KX007_0.0078125_0.015625	0	120
KX007_0.015625_0.03125	5	119
KX007_0.03125_0.0625	0	144
KX007_0.0625_0.125	0	122
KX007_0.125_0.25	0	97
KX007_0.25_0.5	0	113
KX007_0.5_1	0	113
KX008_0_0.0009765625	81	0
KX008_0.0009765625_0.001953125	727	83
KX008_0.001953125_0.00390625	250	296
KX008_0.00390625_0.0078125	25	148
KX008_0.0078125_0.015625	1	146
KX008_0.015625_0.03125	0	141
KX008_0.03125_0.0625	0	140
KX008_0.0625_0.125	0	143
KX008_0.125_0.25	0	103
KX008_0.25_0.5	0	116
KX008_0.5_1	4	117
SX001_0_0.0009765625	171	5
SX001_0.0009765625_0.001953125	628	209
SX001_0.001953125_0.00390625	230	281
SX001_0.00390625_0.0078125	37	220
SX001_0.0078125_0.015625	8	187
SX001_0.015625_0.03125	0	169
SX001_0.03125_0.0625	0	154
SX001_0.0625_0.125	0	154
SX001_0.125_0.25	0	100
SX001_0.25_0.5	0	92
SX001_0.5_1	0	97
AX001_0_0.0009765625	44	0
AX001_0.0009765625_0.001953125	922	37
AX001_0.001953125_0.00390625	1057	276
AX001_0.00390625_0.0078125	143	228
AX001_0.0078125_0.015625	8	144
AX001_0.015625_0.03125	0	154
AX001_0.03125_0.0625	0	138
AX001_0.0625_0.125	0	122
AX001_0.125_0.25	0	146
AX001_0.25_0.5	1	132
AX001_0.5_1	0	125
8 pcw_0_0.0009765625	1018	0
8 pcw_0.0009765625_0.001953125	1923	0
8 pcw_0.001953125_0.00390625	1634	39
8 pcw_0.00390625_0.0078125	277	102
8 pcw_0.0078125_0.015625	33	41
8 pcw_0.015625_0.03125	1	26
8 pcw_0.03125_0.0625	0	15
8 pcw_0.0625_0.125	0	6
8 pcw_0.125_0.25	0	2
8 pcw_0.25_0.5	0	1
18 pcw_0_0.0009765625	101	3
18 pcw_0.0009765625_0.001953125	514	60
18 pcw_0.001953125_0.00390625	335	131
18 pcw_0.00390625_0.0078125	55	85
18 pcw_0.0078125_0.015625	5	36
18 pcw_0.015625_0.03125	0	22
18 pcw_0.03125_0.0625	0	11
18 pcw_0.0625_0.125	1	4
18 pcw_0.125_0.25	0	1
