Samples	CH192A	CH192B	CH192C	CH192D
CB001_0_0.0009765625	0	70	4	2
CB001_0.0009765625_0.001953125	1	178	156	189
CB001_0.001953125_0.00390625	68	35	12	234
CB001_0.00390625_0.0078125	64	1	0	35
CB001_0.0078125_0.015625	53	0	0	4
CB001_0.015625_0.03125	32	0	0	4
CB001_0.03125_0.0625	20	0	0	4
CB001_0.0625_0.125	16	0	0	0
CB001_0.125_0.25	5	0	0	0
CB002_0_0.0009765625	0	72	9	4
CB002_0.0009765625_0.001953125	0	138	385	199
CB002_0.001953125_0.00390625	56	0	157	235
CB002_0.00390625_0.0078125	90	0	21	4
CB002_0.0078125_0.015625	52	0	0	3
CB002_0.015625_0.03125	48	0	0	5
CB002_0.03125_0.0625	41	0	0	0
CB002_0.0625_0.125	18	0	0	0
CB002_0.125_0.25	7	0	0	0
CB002_0.25_0.5	3	0	0	0
KX001_0_0.0009765625	0	185	66	0
KX001_0.0009765625_0.001953125	36	113	1288	0
KX001_0.001953125_0.00390625	183	1	157	148
KX001_0.00390625_0.0078125	141	0	0	17
KX001_0.0078125_0.015625	132	2	0	5
KX001_0.015625_0.03125	111	1	0	11
KX001_0.03125_0.0625	122	1	0	0
KX001_0.0625_0.125	108	0	0	4
KX001_0.125_0.25	87	4	0	0
KX001_0.25_0.5	75	0	0	0
KX001_0.5_1	57	1	1	0
KX002_0_0.0009765625	0	220	50	0
KX002_0.0009765625_0.001953125	57	146	1177	24
KX002_0.001953125_0.00390625	155	0	109	103
KX002_0.00390625_0.0078125	135	0	9	14
KX002_0.0078125_0.015625	120	0	17	0
KX002_0.015625_0.03125	115	0	4	0
KX002_0.03125_0.0625	120	0	0	0
KX002_0.0625_0.125	106	1	4	4
KX002_0.125_0.25	113	0	0	4
KX002_0.25_0.5	84	0	0	0
KX002_0.5_1	86	1	1	1
KX003_0_0.0009765625	0	80	13	11
KX003_0.0009765625_0.001953125	32	231	346	187
KX003_0.001953125_0.00390625	145	43	101	272
KX003_0.00390625_0.0078125	131	2	24	12
KX003_0.0078125_0.015625	148	0	13	0
KX003_0.015625_0.03125	112	0	1	0
KX003_0.03125_0.0625	103	0	5	0
KX003_0.0625_0.125	120	0	14	1
KX003_0.125_0.25	109	1	0	0
KX003_0.25_0.5	84	1	3	0
KX003_0.5_1	131	0	11	0
KX004_0_0.0009765625	0	378	0	0
KX004_0.0009765625_0.001953125	20	494	158	307
