Samples	CH192A	CH192B	CH192C	CH192D	CH192E	CH192F	CH192G
CB001_0_0.0009765625	0	51	22	0	2	1	0
CB001_0.0009765625_0.001953125	19	36	365	0	0	104	0
CB001_0.001953125_0.00390625	18	0	107	155	0	69	0
CB001_0.00390625_0.0078125	44	1	7	48	0	0	0
CB001_0.0078125_0.015625	50	0	0	5	0	2	0
CB001_0.015625_0.03125	30	0	0	6	0	0	0
CB001_0.03125_0.0625	20	0	0	0	1	3	0
CB001_0.0625_0.125	16	0	0	0	0	0	0
CB001_0.125_0.25	5	0	0	0	0	0	0
CB002_0_0.0009765625	0	50	22	0	0	2	11
CB002_0.0009765625_0.001953125	0	66	152	0	0	60	444
CB002_0.001953125_0.00390625	9	0	14	182	12	8	223
CB002_0.00390625_0.0078125	87	0	0	3	3	0	22
CB002_0.0078125_0.015625	46	0	0	6	0	0	3
CB002_0.015625_0.03125	41	0	0	12	0	0	0
CB002_0.03125_0.0625	40	0	0	1	0	0	0
CB002_0.0625_0.125	18	0	0	0	0	0	0
CB002_0.125_0.25	6	0	0	0	1	0	0
CB002_0.25_0.5	3	0	0	0	0	0	0
KX001_0_0.0009765625	0	152	0	0	78	1	20
KX001_0.0009765625_0.001953125	5	71	138	0	914	84	225
KX001_0.001953125_0.00390625	101	0	62	188	127	11	0
KX001_0.00390625_0.0078125	124	1	0	26	0	7	0
KX001_0.0078125_0.015625	124	1	0	8	0	6	0
KX001_0.015625_0.03125	104	1	0	10	0	8	0
KX001_0.03125_0.0625	121	0	2	0	0	0	0
KX001_0.0625_0.125	105	0	0	4	0	3	0
KX001_0.125_0.25	84	2	2	3	0	0	0
KX001_0.25_0.5	75	0	0	0	0	0	0
KX001_0.5_1	55	1	0	2	1	0	0
KX002_0_0.0009765625	0	175	15	0	55	0	25
KX002_0.0009765625_0.001953125	10	116	65	35	860	113	205
KX002_0.001953125_0.00390625	82	0	3	161	121	0	0
KX002_0.00390625_0.0078125	124	1	0	16	9	8	0
KX002_0.0078125_0.015625	110	0	0	9	18	0	0
KX002_0.015625_0.03125	112	0	2	3	2	0	0
KX002_0.03125_0.0625	116	0	0	3	1	0	0
KX002_0.0625_0.125	103	0	2	4	2	2	2
KX002_0.125_0.25	110	0	0	3	0	4	0
KX002_0.25_0.5	84	0	0	0	0	0	0
KX002_0.5_1	83	1	0	0	1	4	0
KX003_0_0.0009765625	0	58	18	0	4	18	6
KX003_0.0009765625_0.001953125	41	106	270	0	150	172	57
KX003_0.001953125_0.00390625	80	24	42	187	57	92	79
KX003_0.00390625_0.0078125	125	1	0	10	22	9	2
KX003_0.0078125_0.015625	145	0	0	0	15	0	1
KX003_0.015625_0.03125	109	0	0	0	2	2	0
KX003_0.03125_0.0625	99	0	0	4	5	0	0
KX003_0.0625_0.125	117	0	1	0	11	6	0
KX003_0.125_0.25	101	1	0	8	0	0	0
KX003_0.25_0.5	83	0	3	0	2	0	0
KX003_0.5_1	125	0	0	0	10	7	0
KX004_0_0.0009765625	0	337	9	0	0	32	0
KX004_0.0009765625_0.001953125	25	256	483	45	0	116	54
KX004_0.001953125_0.00390625	107	1	125	128	0	51	50
KX004_0.00390625_0.0078125	141	0	0	45	0	15	45
KX004_0.0078125_0.015625	175	0	6	15	0	0	8
KX004_0.015625_0.03125	166	0	0	0	2	8	0
KX004_0.03125_0.0625	186	0	0	4	9	0	0
KX004_0.0625_0.125	169	0	3	0	0	3	0
KX004_0.125_0.25	153	0	0	0	1	0	3
KX004_0.25_0.5	133	1	0	0	5	0	0
KX004_0.5_1	172	0	0	0	12	4	0
KX007_0_0.0009765625	0	56	18	0	0	2	0
KX007_0.0009765625_0.001953125	31	39	78	48	0	48	48
KX007_0.001953125_0.00390625	100	6	10	113	0	26	8
KX007_0.00390625_0.0078125	103	0	0	8	27	7	0
KX007_0.0078125_0.015625	107	1	0	0	12	0	0
KX007_0.015625_0.03125	101	3	0	14	0	6	0
KX007_0.03125_0.0625	134	0	0	0	2	8	0
KX007_0.0625_0.125	106	0	0	16	0	0	0
KX007_0.125_0.25	92	0	1	4	0	0	0
KX007_0.25_0.5	111	0	1	0	0	1	0
KX007_0.5_1	98	0	0	12	0	3	0
KX008_0_0.0009765625	0	67	0	0	0	5	9
KX008_0.0009765625_0.001953125	14	87	0	56	0	98	555
KX008_0.001953125_0.00390625	71	0	0	310	0	0	165
KX008_0.00390625_0.0078125	99	0	0	34	34	0	6
KX008_0.0078125_0.015625	120	0	0	17	10	0	0
KX008_0.015625_0.03125	127	1	0	13	0	0	0
KX008_0.03125_0.0625	121	1	0	18	0	0	0
KX008_0.0625_0.125	138	0	0	0	0	4	1
