"Patient" "Sample"
"1" "CB001" "CB001_0_0.0009765625"
"2" "CB001" "CB001_0.0009765625_0.001953125"
"3" "CB001" "CB001_0.001953125_0.00390625"
"4" "CB001" "CB001_0.00390625_0.0078125"
"5" "CB001" "CB001_0.0078125_0.015625"
"6" "CB001" "CB001_0.015625_0.03125"
"7" "CB001" "CB001_0.03125_0.0625"
"8" "CB001" "CB001_0.0625_0.125"
"9" "CB001" "CB001_0.125_0.25"
"10" "CB002" "CB002_0_0.0009765625"
"11" "CB002" "CB002_0.0009765625_0.001953125"
"12" "CB002" "CB002_0.001953125_0.00390625"
"13" "CB002" "CB002_0.00390625_0.0078125"
"14" "CB002" "CB002_0.0078125_0.015625"
"15" "CB002" "CB002_0.015625_0.03125"
"16" "CB002" "CB002_0.03125_0.0625"
"17" "CB002" "CB002_0.0625_0.125"
"18" "CB002" "CB002_0.125_0.25"
"19" "CB002" "CB002_0.25_0.5"
"20" "KX001" "KX001_0_0.0009765625"
"21" "KX001" "KX001_0.0009765625_0.001953125"
"22" "KX001" "KX001_0.001953125_0.00390625"
"23" "KX001" "KX001_0.00390625_0.0078125"
"24" "KX001" "KX001_0.0078125_0.015625"
"25" "KX001" "KX001_0.015625_0.03125"
"26" "KX001" "KX001_0.03125_0.0625"
"27" "KX001" "KX001_0.0625_0.125"
"28" "KX001" "KX001_0.125_0.25"
"29" "KX001" "KX001_0.25_0.5"
"30" "KX001" "KX001_0.5_1"
"31" "KX002" "KX002_0_0.0009765625"
"32" "KX002" "KX002_0.0009765625_0.001953125"
"33" "KX002" "KX002_0.001953125_0.00390625"
"34" "KX002" "KX002_0.00390625_0.0078125"
"35" "KX002" "KX002_0.0078125_0.015625"
"36" "KX002" "KX002_0.015625_0.03125"
"37" "KX002" "KX002_0.03125_0.0625"
"38" "KX002" "KX002_0.0625_0.125"
"39" "KX002" "KX002_0.125_0.25"
"40" "KX002" "KX002_0.25_0.5"
"41" "KX002" "KX002_0.5_1"
"42" "KX003" "KX003_0_0.0009765625"
"43" "KX003" "KX003_0.0009765625_0.001953125"
"44" "KX003" "KX003_0.001953125_0.00390625"
"45" "KX003" "KX003_0.00390625_0.0078125"
"46" "KX003" "KX003_0.0078125_0.015625"
"47" "KX003" "KX003_0.015625_0.03125"
"48" "KX003" "KX003_0.03125_0.0625"
"49" "KX003" "KX003_0.0625_0.125"
"50" "KX003" "KX003_0.125_0.25"
"51" "KX003" "KX003_0.25_0.5"
"52" "KX003" "KX003_0.5_1"
"53" "KX004" "KX004_0_0.0009765625"
"54" "KX004" "KX004_0.0009765625_0.001953125"
"55" "KX004" "KX004_0.001953125_0.00390625"
"56" "KX004" "KX004_0.00390625_0.0078125"
"57" "KX004" "KX004_0.0078125_0.015625"
"58" "KX004" "KX004_0.015625_0.03125"
"59" "KX004" "KX004_0.03125_0.0625"
"60" "KX004" "KX004_0.0625_0.125"
"61" "KX004" "KX004_0.125_0.25"
"62" "KX004" "KX004_0.25_0.5"
"63" "KX004" "KX004_0.5_1"
"64" "KX007" "KX007_0_0.0009765625"
"65" "KX007" "KX007_0.0009765625_0.001953125"
"66" "KX007" "KX007_0.001953125_0.00390625"
"67" "KX007" "KX007_0.00390625_0.0078125"
"68" "KX007" "KX007_0.0078125_0.015625"
"69" "KX007" "KX007_0.015625_0.03125"
"70" "KX007" "KX007_0.03125_0.0625"
"71" "KX007" "KX007_0.0625_0.125"
"72" "KX007" "KX007_0.125_0.25"
"73" "KX007" "KX007_0.25_0.5"
"74" "KX007" "KX007_0.5_1"
"75" "KX008" "KX008_0_0.0009765625"
"76" "KX008" "KX008_0.0009765625_0.001953125"
"77" "KX008" "KX008_0.001953125_0.00390625"
"78" "KX008" "KX008_0.00390625_0.0078125"
"79" "KX008" "KX008_0.0078125_0.015625"
"80" "KX008" "KX008_0.015625_0.03125"
"81" "KX008" "KX008_0.03125_0.0625"
"82" "KX008" "KX008_0.0625_0.125"
"83" "KX008" "KX008_0.125_0.25"
"84" "KX008" "KX008_0.25_0.5"
"85" "KX008" "KX008_0.5_1"
"86" "SX001" "SX001_0_0.0009765625"
"87" "SX001" "SX001_0.0009765625_0.001953125"
"88" "SX001" "SX001_0.001953125_0.00390625"
"89" "SX001" "SX001_0.00390625_0.0078125"
"90" "SX001" "SX001_0.0078125_0.015625"
"91" "SX001" "SX001_0.015625_0.03125"
"92" "SX001" "SX001_0.03125_0.0625"
"93" "SX001" "SX001_0.0625_0.125"
"94" "SX001" "SX001_0.125_0.25"
"95" "SX001" "SX001_0.25_0.5"
"96" "SX001" "SX001_0.5_1"
"97" "AX001" "AX001_0_0.0009765625"
"98" "AX001" "AX001_0.0009765625_0.001953125"
"99" "AX001" "AX001_0.001953125_0.00390625"
"100" "AX001" "AX001_0.00390625_0.0078125"
"101" "AX001" "AX001_0.0078125_0.015625"
"102" "AX001" "AX001_0.015625_0.03125"
"103" "AX001" "AX001_0.03125_0.0625"
"104" "AX001" "AX001_0.0625_0.125"
"105" "AX001" "AX001_0.125_0.25"
"106" "AX001" "AX001_0.25_0.5"
"107" "AX001" "AX001_0.5_1"
"108" "8 pcw" "8 pcw_0_0.0009765625"
"109" "8 pcw" "8 pcw_0.0009765625_0.001953125"
"110" "8 pcw" "8 pcw_0.001953125_0.00390625"
"111" "8 pcw" "8 pcw_0.00390625_0.0078125"
"112" "8 pcw" "8 pcw_0.0078125_0.015625"
"113" "8 pcw" "8 pcw_0.015625_0.03125"
"114" "8 pcw" "8 pcw_0.03125_0.0625"
"115" "8 pcw" "8 pcw_0.0625_0.125"
"116" "8 pcw" "8 pcw_0.125_0.25"
"117" "8 pcw" "8 pcw_0.25_0.5"
"118" "18 pcw" "18 pcw_0_0.0009765625"
"119" "18 pcw" "18 pcw_0.0009765625_0.001953125"
"120" "18 pcw" "18 pcw_0.001953125_0.00390625"
"121" "18 pcw" "18 pcw_0.00390625_0.0078125"
"122" "18 pcw" "18 pcw_0.0078125_0.015625"
"123" "18 pcw" "18 pcw_0.015625_0.03125"
"124" "18 pcw" "18 pcw_0.03125_0.0625"
"125" "18 pcw" "18 pcw_0.0625_0.125"
"126" "18 pcw" "18 pcw_0.125_0.25"
