"filename","path","bytes","md5","description"
"mito_data.Rds","data/mito_data.Rds",77255829,"e7bc4b1d5ecc99a290c6bf00465b320d","Processed blood/normal haematopoiesis cohort: VAF matrices, phylogenies (tree, tree.ultra), shearwater calls, germline assignments"
"mito_mutation_data_blood.RDS","data/nonblood/mito_mutation_data_blood.RDS",75701887,"39bb6b2ef2f60d2e90fb54134f6d140d","Processed mtDNA mutation data, blood cohort"
"mito_mutation_data_SO.RDS","data/nonblood/mito_mutation_data_SO.RDS",32220769,"e3391f5511bc5d4d8805e4a04595e852","Processed mtDNA mutation data, SO (colon IBD) cohort"
"whole_genome_coverage_pileup_and_bedtools_annotated.csv","data/whole_genome_coverage_pileup_and_bedtools_annotated.csv",11147818,"6eb17acf72a338d6740e0713c08fb067","Per-sample mtDNA copy number from whole-genome coverage"
"mito_data_foetal.Rds","data/mito_data_foetal.Rds",10326405,"fead1399576f22bd131a374163a3b994","Processed foetal cohort"
"mito_mutation_data_lymph.RDS","data/nonblood/mito_mutation_data_lymph.RDS",8814870,"b508a94400b71106e28b2d83ee4416a0","Processed mtDNA mutation data, lymphoid cohort"
"mito_mutation_data_CML.RDS","data/nonblood/mito_mutation_data_CML.RDS",8663707,"b56298f54b6b0f4aab7b260d23d7e115","Processed mtDNA mutation data, CML cohort"
"mito_mutation_data_NW.RDS","data/nonblood/mito_mutation_data_NW.RDS",8469149,"c8ad3e531f2e3a7c670c551130f41c6a","Processed mtDNA mutation data, NW (blood MPN) cohort"
"model2_res.Rds","data/colony_drift_simulations/model2_res.Rds",6631182,"82bacea56b9bd5f6b8a2eb636fd03bbf","Colony growth drift simulation, model 2"
"model3_res.Rds","data/colony_drift_simulations/model3_res.Rds",6626471,"1b7dfbef0ad3b066c3c85687c9dd6a5a","Colony growth drift simulation, model 3"
"model4_res.Rds","data/colony_drift_simulations/model4_res.Rds",6409477,"69448d777bcdd9f75cacab4d96b12147","Colony growth drift simulation, model 4"
"model1_res.Rds","data/colony_drift_simulations/model1_res.Rds",6406010,"d22ab696480da76bf88b9154a2464712","Colony growth drift simulation, model 1"
"mito_mutation_data_LM.RDS","data/nonblood/mito_mutation_data_LM.RDS",4498062,"9fd2a0d72fc82d230d886f9676b924e6","Processed mtDNA mutation data, LM (endometrium) cohort"
"mito_mutation_data_HL.RDS","data/nonblood/mito_mutation_data_HL.RDS",3017920,"fdb6a7f62b91b315d44618206bb0ec52","Processed mtDNA mutation data, HL (colon) cohort"
"mito_mutation_data_KY.RDS","data/nonblood/mito_mutation_data_KY.RDS",2766971,"695203b09b2086ab085a8f4d0f8d00d9","Processed mtDNA mutation data, KY (lung organoid) cohort"
"mito_mutation_data_PR.RDS","data/nonblood/mito_mutation_data_PR.RDS",1390219,"700593fb8d32641a9f59375081f30c64","Processed mtDNA mutation data, PR (MUTYH mutant) cohort"
